1	1	104
1	2	216
1	3	344
1	4	420
1	5	512
1	6	748
1	7	892
1	8	1084
1	9	1324
1	10	1616
1	11	1940
1	12	2200
1	13	2576
1	14	2980
1	15	3388
1	16	3732
1	17	4312
1	18	4680
1	19	5212
1	20	5724
2	1	96
2	2	312
2	3	632
2	4	1072
2	5	1640
2	6	2480
2	7	3496
2	8	4716
2	9	6320
2	10	8201
2	11	10541
2	12	13393
2	13	16937
2	14	21137
2	15	25758
2	16	31454
2	17	38130
2	18	45807
2	19	54871
2	20	65032
3	1	100
3	2	332
3	3	896
3	4	1876
3	5	3568
3	6	6652
3	7	11313
3	8	18565
3	9	29310
3	10	44463
3	11	65308
3	12	92862
3	13	129648
3	14	176687
3	15	234043
3	16	306975
3	17	395353
3	18	506112
3	19	630255
3	20	781253
4	1	104
4	2	304
4	3	840
4	4	2612
4	5	7052
4	6	17341
4	7	37602
4	8	73457
4	9	132164
4	10	220762
4	11	349566
4	12	529569
4	13	774024
4	14	1095344
4	15	1511446
4	16	2040019
4	17	2706137
4	18	3518344
4	19	4522127
4	20	5701208
